# Simulated Annealing
# Total number of throws: M = 10000
# Number of blocks: N = 100
# Throws per block: L = 100
# Initial position: x0 = 0
# Uniform proposal half-width for Metropolis: delta = 1.2
# Initial parameters: (mu,sigma) = (1, 0.5)
# Initial value of beta = 1
# Beta increment = 1
# Number of optimization steps for each beta value = 50
# delta_mu = 0.5
# delta_sigma = 0.5
# Required precision on mu: err_mu = 0.01
# Required precision on sigma: err_sigma = 0.01
# Columns:
# 1) beta
# 2) mu
# 3) sigma
# 4) H_old
# 4) err_old
# 5) Acceptance rate: A = accepted/attempted
1 0.132088 1.15276 -0.154427 0.0681366 0.718
1 -0.274265 0.764332 -0.150017 0.0180825 0.6271
1 -0.274265 0.764332 -0.150017 0.0180825 0.4758
1 -0.732423 0.487817 -0.297651 0.0183996 0.6405
1 -0.732423 0.487817 -0.297651 0.0183996 0.1582
1 -0.672854 0.882903 -0.250905 0.0327673 0.7404
1 -0.672854 0.882903 -0.250905 0.0327673 0.8394
1 -0.407483 0.409905 0.273715 0.0236636 0.5793
1 -0.716404 0.816467 -0.262129 0.0287984 0.744
1 -0.716404 0.816467 -0.262129 0.0287984 0.6401
1 -0.716404 0.816467 -0.262129 0.0287984 0.7774
1 -0.520591 0.942374 -0.329803 0.0150965 0.7096
1 -0.867256 0.501237 -0.288991 0.0145133 0.5696
1 -1.09641 0.65081 -0.0138137 0.0375863 0.6383
1 -1.25256 0.466265 0.444209 0.0237841 0.4307
2 -1.25256 0.466265 0.444209 0.0237841 0.2795
2 -1.30386 0.599652 0.716515 0.0672466 0.5332
2 -1.30386 0.599652 0.716515 0.0672466 0.5983
2 -1.30386 0.599652 0.716515 0.0672466 0.6541
2 -1.30386 0.599652 0.716515 0.0672466 0.6785
2 -1.16798 0.698139 0.331312 0.0591514 0.6608
2 -0.930674 0.720863 -0.223202 0.0374557 0.7546
2 -0.764355 0.934079 -0.133861 0.0565423 0.764
2 -0.586735 0.764867 -0.319492 0.0143311 0.6883
2 -0.488269 0.519547 -0.063739 0.0180556 0.6308
2 -0.589026 0.758336 -0.326676 0.0134922 0.6991
2 -0.830737 0.521439 -0.368235 0.0124781 0.6191
2 -0.830737 0.521439 -0.368235 0.0124781 0.4039
2 -0.907584 0.423347 0.128099 0.0347007 0.4401
2 -0.689558 0.63104 -0.409538 0.00804386 0.7406
