# Energy calculation - Metropolis algorithm
# Total number of throws: M = 1000
# Number of blocks: N = 1000
# Throws per block: L = 1
# Initial position: x0 = 0
# Uniform proposal half-width: delta = 1.2
# Acceptance rate: A = accepted/attempted = 0.502
# Wavefunction parameters: (mu,sigma) = (1, 0.5)
# Columns:
# 1) block index
# 2) block average
# 3) progressive average
# 4) progressive statistical uncertainty
271 -1.70957 -0.239891 0.0742478
272 0.389618 -0.237577 0.0740106
273 0.389618 -0.23528 0.0737747
274 0.389618 -0.232999 0.0735404
275 0.389618 -0.230735 0.0733074
276 0.53061 -0.227976 0.0730934
277 0.53061 -0.225238 0.0728805
278 -5.59587 -0.244557 0.0751437
279 0.296246 -0.242618 0.074899
280 0.296246 -0.240694 0.0746558
281 0.296246 -0.238783 0.0744142
282 0.296246 -0.236886 0.0741741
283 0.471186 -0.234384 0.0739539
284 -0.538262 -0.235454 0.0737008
285 -1.1896 -0.238801 0.073518
286 -0.723328 -0.240496 0.0732801
287 0.433178 -0.238148 0.073062
288 0.433178 -0.235817 0.0728452
289 0.433178 -0.233502 0.0726296
290 -5.98354 -0.25333 0.0750454
291 -3.13473 -0.263232 0.0754397
292 -5.42528 -0.28091 0.0772314
293 -5.43829 -0.298512 0.0789545
294 0.469135 -0.295901 0.0787288
295 0.496233 -0.293216 0.0785074
296 0.308335 -0.291184 0.0782681
297 0.373068 -0.288947 0.0780362
298 0.373068 -0.286726 0.0778056
299 0.373068 -0.284519 0.0775763
300 0.373068 -0.282327 0.0773484
301 0.373068 -0.28015 0.0771217
302 0.373068 -0.277987 0.0768963
303 0.373068 -0.275838 0.0766723
304 0.191959 -0.274299 0.0764351
305 0.191959 -0.27277 0.0761994
306 0.477816 -0.270317 0.0759896
307 0.477816 -0.267881 0.0757809
308 0.477816 -0.265459 0.0755732
309 0.419057 -0.263244 0.0753608
310 0.43352 -0.260997 0.0751509
311 0.43352 -0.258763 0.0749422
312 -0.301703 -0.258901 0.0747017
313 0.498284 -0.256482 0.074502
314 0.498284 -0.254078 0.0743032
315 0.498284 -0.25169 0.0741055
316 0.224221 -0.250184 0.0738859
317 -0.78483 -0.25187 0.0736718
318 -0.569747 -0.25287 0.0734465
319 -0.631396 -0.254056 0.0732256
320 -0.631396 -0.255236 0.0730059
321 -1.06029 -0.257744 0.0728213
322 0.0649797 -0.256741 0.0726017
323 0.0649797 -0.255745 0.0723835
324 0.0649797 -0.254755 0.0721665
325 -0.739981 -0.256248 0.0719596
326 -0.739981 -0.257732 0.0717539
327 -0.739981 -0.259207 0.0715493
328 -0.739981 -0.260673 0.0713459
329 0.0393766 -0.259761 0.0711345
330 0.0393766 -0.258854 0.0709244
331 0.0393766 -0.257953 0.0707156
332 0.0393766 -0.257058 0.0705079
333 0.442659 -0.254956 0.0703273
334 0.25951 -0.253416 0.0701333
335 0.25951 -0.251885 0.0699404
336 0.25951 -0.250363 0.0697486
337 0.25951 -0.24885 0.0695577
338 -0.294913 -0.248986 0.0693518
339 -0.294913 -0.249122 0.069147
340 -0.303991 -0.249283 0.0689436
341 -0.790066 -0.250869 0.0687594
342 -0.790066 -0.252446 0.0685761
343 -0.790066 -0.254013 0.0683939
344 0.208464 -0.252669 0.068208
345 0.208464 -0.251332 0.0680232
346 0.282447 -0.249789 0.0678438
347 0.282447 -0.248256 0.0676654
348 0.282447 -0.246731 0.0674879
349 0.514177 -0.24455 0.0673296
350 0.511502 -0.24239 0.0671717
351 0.297612 -0.240852 0.0669977
352 0.297612 -0.239322 0.0668246
353 0.525403 -0.237156 0.0666702
354 0.525403 -0.235001 0.0665165
355 -1.25075 -0.237863 0.0663906
356 -2.28773 -0.243621 0.0664538
357 -0.71513 -0.244941 0.0662805
358 -3.34452 -0.2536 0.0666598
359 0.528034 -0.251422 0.0665095
360 0.528034 -0.249257 0.0663598
361 -1.98162 -0.254056 0.0663495
362 -0.415753 -0.254503 0.0661675
363 -0.543095 -0.255298 0.0659897
364 -0.543095 -0.256088 0.0658129
365 -0.543095 -0.256875 0.0656371
366 -0.543095 -0.257657 0.0654622
367 -5.67043 -0.272405 0.0669288
368 -5.84393 -0.287545 0.0684422
369 -5.37029 -0.30132 0.0696325
370 0.230805 -0.299882 0.0694589
371 0.230805 -0.298451 0.0692862
372 0.320451 -0.296787 0.0691198
373 0.320451 -0.295133 0.0689541
374 0.320451 -0.293487 0.0687891
375 -0.253834 -0.293381 0.0686055
376 -0.238778 -0.293236 0.068423
377 -0.238778 -0.293091 0.0682414
378 -0.238778 -0.292948 0.0680608
379 -0.238778 -0.292805 0.0678811
380 -0.238778 -0.292662 0.0677024
381 -0.156213 -0.292304 0.0675254
382 -0.156213 -0.291948 0.0673494
383 -0.750438 -0.293145 0.0671839
384 -0.239018 -0.293004 0.0670089
385 0.482633 -0.29099 0.066865
386 0.482633 -0.288985 0.0667216
387 0.482633 -0.286992 0.0665789
388 0.482633 -0.285008 0.0664367
389 0.530602 -0.282911 0.0662988
390 0.458768 -0.28101 0.066156
391 0.458768 -0.279117 0.0660137
392 0.458768 -0.277235 0.0658719
393 0.458768 -0.275362 0.0657308
394 0.458768 -0.273499 0.0655902
395 0.338724 -0.271949 0.0654423
396 0.338724 -0.270407 0.0652951
397 -0.387871 -0.270703 0.0651311
