# Buffon's needle experiment - Monte Carlo estimation of pi
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: N_throws = 10000
# Needle length: L = 1
# Distance between lines: d = 1.2
# Columns:
# 1) block index
# 2) pi estimate in the block
# 3) progressive mean of pi
# 4) progressive statistical uncertainty

277 3.0739 3.14333 0.00180633
278 3.16436 3.14341 0.00180141
279 3.11993 3.14332 0.00179691
280 3.12168 3.14324 0.00179215
281 3.16436 3.14332 0.00178734
282 3.13342 3.14328 0.00178134
283 3.13873 3.14327 0.00177511
284 3.1211 3.14319 0.00177057
285 3.16797 3.14328 0.00176648
286 3.11119 3.14317 0.00176387
287 3.10829 3.14304 0.00176191
288 3.11468 3.14295 0.00175854
289 3.19346 3.14312 0.00176114
290 3.1837 3.14326 0.00176062
291 3.14584 3.14327 0.00175458
292 3.09905 3.14312 0.00175511
293 3.16496 3.14319 0.0017507
294 3.14525 3.1432 0.00174475
295 3.14465 3.1432 0.00173883
296 3.13401 3.14317 0.00173322
297 3.17521 3.14328 0.00173074
298 3.18918 3.14343 0.00173179
299 3.16136 3.14349 0.00172703
300 3.19224 3.14366 0.00172891
301 3.1141 3.14356 0.00172595
302 3.14644 3.14357 0.00172026
303 3.15119 3.14359 0.00171475
304 3.1176 3.14351 0.00171124
305 3.17824 3.14362 0.00170942
306 3.12989 3.14358 0.00170441
307 3.12872 3.14353 0.00169954
308 3.12461 3.14347 0.00169513
309 3.1746 3.14357 0.00169264
310 3.14465 3.14357 0.00168717
311 3.1411 3.14356 0.00168176
312 3.16136 3.14362 0.00167733
313 3.15776 3.14367 0.00167257
314 3.13519 3.14364 0.00166745
315 3.18309 3.14376 0.00166686
316 3.15179 3.14379 0.00166177
317 3.11585 3.1437 0.00165887
318 3.09905 3.14356 0.00165959
319 3.15657 3.1436 0.00165489
320 3.18066 3.14372 0.00165377
321 3.16436 3.14378 0.00164986
322 3.20205 3.14396 0.00165465
323 3.10366 3.14384 0.00165423
324 3.12813 3.14379 0.00164983
325 3.18066 3.1439 0.00164866
326 3.15956 3.14395 0.00164429
327 3.13637 3.14393 0.00163942
328 3.12637 3.14387 0.00163529
329 3.14051 3.14386 0.00163035
330 3.11993 3.14379 0.00162701
331 3.1506 3.14381 0.00162222
332 3.16076 3.14386 0.00161813
333 3.15239 3.14389 0.00161347
334 3.18431 3.14401 0.00161318
335 3.15836 3.14405 0.00160893
336 3.14465 3.14405 0.00160413
337 3.07617 3.14385 0.001612
338 3.091 3.1437 0.00161481
339 3.174 3.14379 0.00161252
340 3.10366 3.14367 0.0016121
341 3.17098 3.14375 0.00160936
342 3.13873 3.14373 0.00160471
343 3.19836 3.14389 0.00160793
344 3.16076 3.14394 0.001604
345 3.15716 3.14398 0.0015998
346 3.14465 3.14398 0.00159518
347 3.11468 3.1439 0.00159281
348 3.1176 3.14382 0.00159003
349 3.10482 3.14371 0.0015894
350 3.19468 3.14386 0.00159153
351 3.14465 3.14386 0.00158699
352 3.14051 3.14385 0.0015825
353 3.10945 3.14375 0.00158102
354 3.16496 3.14381 0.00157768
355 3.15716 3.14385 0.00157368
356 3.14347 3.14385 0.00156926
357 3.091 3.1437 0.00157184
358 3.1506 3.14372 0.00156756
359 3.12168 3.14366 0.00156439
360 3.16376 3.14371 0.00156104
361 3.19346 3.14385 0.0015628
362 3.12168 3.14379 0.00155968
363 3.14525 3.14379 0.00155538
364 3.11935 3.14373 0.00155255
365 3.17824 3.14382 0.00155118
366 3.11993 3.14376 0.00154831
367 3.12402 3.1437 0.00154502
368 3.12754 3.14366 0.00154144
369 3.07333 3.14347 0.00154903
370 3.10078 3.14335 0.00154914
371 3.16196 3.1434 0.00154577
372 3.18127 3.1435 0.00154497
373 3.16496 3.14356 0.0015419
374 3.15657 3.1436 0.00153816
375 3.14941 3.14361 0.00153413
376 3.08356 3.14345 0.00153836
377 3.12637 3.14341 0.00153494
378 3.17642 3.14349 0.00153336
379 3.18492 3.1436 0.00153321
380 3.13991 3.14359 0.0015292
381 3.17158 3.14367 0.00152695
382 3.16376 3.14372 0.00152386
383 3.10713 3.14362 0.00152287
384 3.16136 3.14367 0.0015196
385 3.16676 3.14373 0.00151684
386 3.1506 3.14375 0.00151301
387 3.14051 3.14374 0.00150912
388 3.14051 3.14373 0.00150525
389 3.14584 3.14374 0.00150138
