# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.5195
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.5015
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
121 1.14829 8.65199 0.571637 6.9571 11.478 0.45718
122 1.3347 8.59201 0.570096 8.11061 11.4504 0.454256
123 1.3347 8.53301 0.568512 7.51131 11.4183 0.451685
124 1.40963 8.47557 0.566827 7.33164 11.3854 0.449238
125 0.890407 8.41488 0.565539 4.52455 11.3305 0.448997
126 0.890407 8.35517 0.564202 4.95871 11.2799 0.448281
127 0.890407 8.29639 0.562819 3.6087 11.2195 0.44882
128 0.701089 8.23705 0.561549 3.6087 11.1601 0.449252
129 0.950738 8.18057 0.560034 3.71993 11.1024 0.449472
130 0.957247 8.125 0.558481 3.71993 11.0456 0.449602
131 0.957247 8.07029 0.556896 1.89127 10.9757 0.451596
132 0.968455 8.01649 0.555273 1.89127 10.9069 0.453415
133 0.968455 7.96349 0.553624 1.89127 10.8391 0.45507
134 0.968455 7.91129 0.551951 2.01072 10.7732 0.456441
135 0.968455 7.85986 0.550256 5.02489 10.7306 0.455044
136 1.17103 7.81068 0.548405 5.02489 10.6887 0.45363
137 1.17103 7.76222 0.54654 4.76772 10.6455 0.452376
138 0.833554 7.71201 0.544884 4.76772 10.6029 0.451101
139 0.842008 7.66258 0.543203 4.76772 10.5609 0.449807
140 0.842008 7.61387 0.541505 4.76772 10.5195 0.448496
141 0.842008 7.56584 0.539791 1.95516 10.4588 0.449427
142 1.10905 7.52037 0.537902 1.95516 10.3989 0.450251
143 1.10905 7.47553 0.536005 1.95516 10.3399 0.450974
144 1.10905 7.43132 0.534103 1.95516 10.2816 0.4516
145 2.10594 7.39459 0.531677 1.95516 10.2242 0.452136
146 1.54939 7.35456 0.529538 2.32465 10.1701 0.452277
147 1.54939 7.31507 0.527404 3.59423 10.1254 0.451412
148 1.57157 7.27626 0.525264 4.48054 10.0872 0.449971
149 1.57157 7.23797 0.52313 6.00448 10.0598 0.44778
150 1.57157 7.2002 0.521002 6.38941 10.0353 0.445457
151 2.74415 7.17069 0.518381 5.37709 10.0045 0.443571
152 3.23288 7.14478 0.51561 5.37709 9.97406 0.441694
153 3.43961 7.12056 0.512801 5.37709 9.94401 0.439825
154 3.43961 7.09666 0.510021 5.37709 9.91436 0.437965
155 4.02219 7.07683 0.507108 3.10429 9.87042 0.437342
156 4.22111 7.05852 0.504179 5.8379 9.84457 0.435298
157 4.39466 7.04155 0.501245 4.03464 9.80756 0.434097
158 4.39466 7.0248 0.498344 2.03036 9.75834 0.43414
159 4.39466 7.00826 0.495476 2.03036 9.70974 0.43413
160 4.62463 6.99336 0.492595 2.03036 9.66174 0.43407
161 3.72142 6.97304 0.489947 3.50425 9.6235 0.433058
