# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.505173
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.495557
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
181 1.69399 1.50258 0.00870847 4.82331 4.9663 0.0248308
182 1.58168 1.50302 0.00867139 4.99303 4.96644 0.0246944
183 1.66007 1.50388 0.00866647 4.82459 4.96567 0.0245714
184 1.4841 1.50377 0.00861991 5.00769 4.9659 0.0244385
185 1.45138 1.50348 0.00857786 5.03812 4.96629 0.0243092
186 1.42002 1.50304 0.00854341 5.56469 4.9695 0.0243913
187 1.60149 1.50356 0.0085139 4.72666 4.96821 0.0242952
188 1.47756 1.50342 0.00846962 4.9738 4.96824 0.0241656
189 1.36831 1.50271 0.00845496 5.10612 4.96897 0.0240485
190 1.31866 1.50174 0.00846595 4.52005 4.9666 0.024038
191 1.42992 1.50136 0.0084299 4.56824 4.96452 0.0240026
192 1.51645 1.50144 0.00838624 4.48508 4.96202 0.0240075
193 1.33618 1.50059 0.0083865 4.96996 4.96206 0.0238828
194 1.37349 1.49993 0.00836885 5.28136 4.96371 0.0238163
195 1.51684 1.50002 0.00832627 4.98782 4.96383 0.0236942
196 1.32282 1.49911 0.00833287 4.6897 4.96243 0.0236144
197 1.42563 1.49874 0.00829885 4.55162 4.96035 0.0235866
198 1.70945 1.49981 0.00832513 4.65039 4.95878 0.0235194
199 1.61422 1.50038 0.00830312 4.7002 4.95748 0.0234369
200 1.37071 1.49973 0.0082869 4.80421 4.95672 0.023332
201 1.31721 1.49882 0.00829542 4.62469 4.95506 0.0232744
202 1.38842 1.49828 0.00827233 4.41809 4.95241 0.0233109
203 1.47341 1.49815 0.00823239 4.7187 4.95125 0.0232244
204 1.61293 1.49872 0.00821123 4.66928 4.94987 0.0231515
205 1.58521 1.49914 0.00818196 4.97793 4.95001 0.0230387
206 1.55973 1.49943 0.00814746 5.04092 4.95045 0.0229309
207 1.4897 1.49939 0.00810814 4.46251 4.94809 0.0229412
208 1.3529 1.49868 0.00809974 4.44936 4.9457 0.0229562
209 1.65636 1.49944 0.00809612 4.54404 4.94377 0.0229268
210 1.45206 1.49921 0.00806063 5.04743 4.94427 0.0228227
211 1.6135 1.49975 0.0080406 5.04436 4.94474 0.0227193
212 1.66889 1.50055 0.00804226 5.3608 4.9467 0.0226968
213 1.53494 1.50071 0.00800604 4.76079 4.94583 0.0226069
214 1.49086 1.50067 0.00796867 4.92968 4.94576 0.0225011
215 1.40411 1.50022 0.00794423 5.23652 4.94711 0.022437
216 1.78816 1.50155 0.00801895 5.33976 4.94893 0.0224068
217 1.53771 1.50172 0.00798365 5.14371 4.94982 0.0223213
218 1.48816 1.50165 0.00794718 5.40036 4.95189 0.0223146
219 1.51789 1.50173 0.00791116 5.04341 4.95231 0.0222164
220 1.5011 1.50173 0.00787512 4.73227 4.95131 0.0221378
221 1.8751 1.50342 0.00801938 4.85551 4.95087 0.0220417
222 1.51165 1.50345 0.00798326 4.70695 4.94978 0.0219697
223 1.8507 1.50501 0.0080985 5.12051 4.95054 0.0218843
224 1.60312 1.50545 0.00807416 4.78495 4.9498 0.0217989
225 1.44035 1.50516 0.0080434 4.98983 4.94998 0.0217026
226 1.60665 1.50561 0.00802031 4.97677 4.9501 0.0216066
227 1.45834 1.5054 0.00798761 5.05267 4.95055 0.021516
228 1.53568 1.50553 0.00795361 5.00501 4.95079 0.0214227
229 1.54031 1.50568 0.00792026 5.12001 4.95153 0.0213418
230 1.39818 1.50522 0.00789959 5.26181 4.95288 0.0212916
231 1.49303 1.50516 0.00786549 4.81031 4.95226 0.0212082
232 1.34203 1.50446 0.00786302 5.46179 4.95446 0.0212305
233 1.66976 1.50517 0.00786128 6.32553 4.96034 0.0219429
234 1.71308 1.50606 0.00787788 4.7682 4.95952 0.0218644
235 1.55488 1.50627 0.00784704 5.1812 4.96046 0.0217915
236 1.74686 1.50729 0.00787994 4.86988 4.96008 0.0217024
237 1.43217 1.50697 0.00785302 4.68069 4.9589 0.0216428
238 1.40338 1.50653 0.00783205 4.97829 4.95898 0.0215518
239 1.54025 1.50667 0.00780049 5.50032 4.96125 0.0215806
240 1.58083 1.50698 0.00777406 5.01818 4.96148 0.0214918
241 1.52765 1.50707 0.00774221 4.8123 4.96086 0.0214114
242 1.45446 1.50685 0.00771322 4.75617 4.96002 0.0213395
243 1.5476 1.50702 0.00768324 5.16119 4.96085 0.0212676
244 1.54952 1.50719 0.00765367 4.53918 4.95912 0.0212507
245 1.50237 1.50717 0.00762239 4.73988 4.95822 0.0211827
246 1.48487 1.50708 0.00759188 5.06438 4.95866 0.0211008
247 1.47622 1.50696 0.00756212 4.92462 4.95852 0.0210157
248 1.71317 1.50779 0.00757732 4.75785 4.95771 0.0209464
249 1.62306 1.50825 0.00756102 4.82623 4.95718 0.0208688
250 1.47841 1.50813 0.00753166 4.5629 4.9556 0.0208449
251 1.52141 1.50819 0.00750178 5.31057 4.95702 0.0208098
252 1.41923 1.50783 0.00748028 5.30486 4.9584 0.0207729
253 1.34112 1.50717 0.00747974 4.93613 4.95831 0.0206909
254 1.62328 1.50763 0.00746424 4.66141 4.95714 0.0206424
255 1.52322 1.50769 0.00743516 5.06699 4.95757 0.0205658
256 1.41674 1.50734 0.00741458 4.53417 4.95592 0.0205519
257 1.40337 1.50693 0.00739675 4.91748 4.95577 0.0204723
258 1.3217 1.50621 0.00740292 5.87817 4.95934 0.0207039
259 1.81844 1.50742 0.00747217 5.17546 4.96018 0.0206406
260 1.40697 1.50703 0.00745339 5.0343 4.96046 0.0205631
261 1.58764 1.50734 0.0074312 5.13537 4.96113 0.0204951
262 1.43233 1.50706 0.00740832 5.09798 4.96166 0.0204234
