# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.524
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.507
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
114 0.539899 10.5946 0.49397 2.04866 6.20726 0.359764
115 0.93571 10.5106 0.496807 2.04866 6.1711 0.358451
116 0.93571 10.4281 0.499374 2.04866 6.13556 0.35712
117 0.93571 10.3469 0.501691 1.45916 6.09559 0.356304
118 0.93571 10.2672 0.503775 4.18848 6.07943 0.353641
119 1.01466 10.1894 0.505538 4.18848 6.06354 0.351016
120 1.21377 10.1146 0.506857 6.75901 6.06933 0.348127
121 0.931958 10.0387 0.508347 6.25372 6.07086 0.345241
122 0.931958 9.96408 0.509659 6.25372 6.07236 0.342403
123 1.19589 9.89279 0.5105 7.0905 6.08063 0.339709
124 1.43712 9.8246 0.510938 7.0905 6.08878 0.337056
125 1.43712 9.7575 0.511256 8.34074 6.10679 0.334834
126 0.914586 9.68732 0.512015 8.34074 6.12452 0.332639
127 0.914586 9.61824 0.512643 8.34074 6.14197 0.33047
128 0.914586 9.55025 0.513147 7.80436 6.15496 0.328135
129 0.887946 9.4831 0.513562 5.79356 6.15216 0.325594
130 1.4649 9.42142 0.513316 5.79356 6.1494 0.323091
131 1.4649 9.36068 0.51299 5.79356 6.14669 0.320627
132 1.4649 9.30087 0.512591 5.79356 6.14401 0.3182
133 1.45627 9.24188 0.51213 5.79356 6.14137 0.315809
134 0.461292 9.17636 0.512501 4.70131 6.13063 0.313628
135 1.40534 9.11879 0.511937 5.27353 6.12428 0.311361
136 1.40534 9.06208 0.511314 5.11744 6.11688 0.309152
137 1.40534 9.00619 0.510636 5.11744 6.10958 0.306973
138 2.59059 8.9597 0.509049 5.11744 6.10239 0.304826
139 2.73631 8.91493 0.507353 5.11744 6.09531 0.302708
140 2.60173 8.86983 0.50573 5.11744 6.08832 0.300619
141 2.60173 8.82538 0.504095 5.01434 6.0807 0.298576
142 1.59134 8.77443 0.503118 5.01434 6.07319 0.296561
143 1.40672 8.72291 0.502237 5.01434 6.06579 0.294573
144 1.40672 8.6721 0.501318 5.01434 6.05849 0.292612
145 1.48498 8.62254 0.50031 5.01434 6.05129 0.290676
146 2.02288 8.57733 0.498924 5.01434 6.04418 0.288765
147 2.60584 8.53671 0.49718 5.22164 6.03859 0.286849
148 2.66041 8.49701 0.495403 5.22164 6.03307 0.284958
149 2.75064 8.45844 0.493576 5.22164 6.02762 0.283091
150 2.00409 8.41541 0.492159 4.59842 6.01809 0.281359
151 0.829174 8.36517 0.491464 4.59842 6.00869 0.279647
152 0.191483 8.3114 0.491172 3.60033 5.99285 0.278253
153 0.191483 8.25833 0.490829 1.61935 5.96426 0.277902
154 0.191483 8.20594 0.490437 1.61935 5.93605 0.27753
155 0.191483 8.15424 0.489998 4.89039 5.9293 0.275816
156 0.191483 8.10319 0.489516 4.89039 5.92264 0.274123
157 0.191483 8.0528 0.488991 4.89039 5.91607 0.272451
158 0.191483 8.00305 0.488427 4.89039 5.90958 0.270799
159 0.191483 7.95392 0.487826 4.12125 5.89833 0.269325
160 1.1852 7.91161 0.48661 3.27128 5.88191 0.26814
161 1.1852 7.86983 0.485379 3.27128 5.8657 0.266962
162 1.1852 7.82857 0.484136 4.6052 5.85792 0.265423
163 1.1852 7.78781 0.482879 4.6052 5.85023 0.263902
164 1.1852 7.74755 0.481612 4.89724 5.84442 0.262352
165 1.1852 7.70778 0.480333 3.66649 5.83122 0.261091
166 0.845473 7.66644 0.479217 3.66649 5.81818 0.259841
167 0.845473 7.6256 0.478087 3.66649 5.80529 0.258601
168 0.845473 7.58524 0.476943 1.25972 5.77824 0.258477
169 2.25272 7.55369 0.475162 2.31817 5.75776 0.257758
170 2.41705 7.52347 0.473324 2.31817 5.73753 0.257035
171 2.41705 7.49361 0.471494 4.02649 5.72752 0.255723
172 3.58058 7.47086 0.469297 4.02649 5.71764 0.254424
173 3.14819 7.44587 0.467245 4.02649 5.70786 0.253138
174 3.14819 7.42117 0.465208 4.90538 5.70325 0.251721
175 2.45579 7.3928 0.463411 6.14579 5.70578 0.250291
176 2.32703 7.36402 0.461669 6.14579 5.70828 0.248878
177 2.21429 7.33492 0.459974 5.23054 5.70558 0.247482
178 1.66522 7.30307 0.45849 5.23054 5.70291 0.246103
179 1.66522 7.27157 0.457008 3.94803 5.6931 0.24492
180 1.66522 7.24043 0.455528 4.73142 5.68776 0.243614
181 2.03899 7.21169 0.453915 5.85581 5.68869 0.242266
182 2.03899 7.18327 0.452308 5.85581 5.68961 0.240933
183 1.02432 7.14961 0.451087 5.85581 5.69052 0.239615
184 1.02432 7.11632 0.449862 5.85581 5.69142 0.238311
185 1.02432 7.08339 0.448634 8.29732 5.7055 0.237437
186 1.1367 7.05142 0.447359 8.29732 5.71944 0.236568
187 0.995303 7.01904 0.446138 7.66446 5.72984 0.235529
188 0.995303 6.987 0.444914 7.62947 5.73994 0.234491
189 0.761431 6.95406 0.443777 7.09922 5.74713 0.233358
190 0.761431 6.92146 0.442637 7.09922 5.75425 0.232236
191 0.761431 6.88921 0.441493 7.09922 5.76129 0.231124
192 0.761431 6.8573 0.440346 7.93159 5.7726 0.230194
193 0.803338 6.82593 0.43918 10.0071 5.79454 0.230047
194 0.755006 6.79464 0.438029 10.0071 5.81625 0.229886
195 0.755006 6.76366 0.436877 8.81758 5.83164 0.229222
196 0.755006 6.73301 0.435722 7.83023 5.84184 0.228277
197 0.755006 6.70266 0.434565 8.83991 5.85706 0.227625
198 0.535394 6.67151 0.433485 10.6822 5.88143 0.227779
199 0.535394 6.64068 0.432402 10.1651 5.90295 0.227652
200 0.535394 6.61015 0.431316 9.37449 5.92031 0.227175
201 0.535394 6.57993 0.430228 9.4745 5.93799 0.226732
202 0.535394 6.55001 0.429138 7.30384 5.94475 0.225708
203 0.535394 6.52038 0.428045 7.83429 5.95406 0.224787
204 0.535394 6.49104 0.426951 7.52081 5.96174 0.223814
205 1.01895 6.46435 0.425701 7.52081 5.96935 0.222849
206 0.920636 6.43744 0.424483 5.44397 5.9668 0.221779
207 0.920636 6.41078 0.423267 6.32394 5.96852 0.220712
208 0.920636 6.38439 0.422054 5.46908 5.96612 0.219662
209 0.867879 6.35799 0.420858 4.28434 5.95807 0.218756
210 0.867879 6.33185 0.419664 7.04993 5.96327 0.217774
211 1.91217 6.3109 0.418195 7.04993 5.96842 0.216801
212 1.91217 6.29016 0.416735 7.04993 5.97353 0.215836
213 1.4576 6.26747 0.415394 5.05555 5.96922 0.214863
214 1.49382 6.24516 0.414049 6.56442 5.972 0.213875
215 1.49382 6.22306 0.412711 7.18673 5.97765 0.212953
216 1.49382 6.20117 0.411379 6.42571 5.97972 0.211975
217 1.95661 6.18161 0.409946 4.1462 5.97127 0.211165
218 1.95661 6.16223 0.408521 4.1462 5.9629 0.210361
219 1.95661 6.14302 0.407105 3.2116 5.95034 0.209774
220 2.13835 6.12482 0.405659 4.14543 5.94213 0.20898
221 2.13835 6.10678 0.404221 4.14543 5.934 0.208191
222 1.48556 6.08596 0.402935 4.14543 5.92595 0.207408
223 1.34561 6.06471 0.401687 4.14543 5.91796 0.20663
224 1.34561 6.04364 0.400444 2.69736 5.90358 0.206207
225 0.986522 6.02116 0.399293 1.38669 5.88351 0.206268
226 0.986522 5.99889 0.398146 1.66041 5.86482 0.206201
227 0.986522 5.97681 0.397003 1.66041 5.8463 0.206125
228 0.986522 5.95492 0.395863 1.21499 5.82599 0.206222
229 0.99305 5.93325 0.394726 1.21499 5.80585 0.206304
230 0.99305 5.91177 0.393593 1.21499 5.78589 0.206373
231 0.99305 5.89048 0.392463 1.21499 5.76611 0.206428
232 0.99305 5.86937 0.391338 1.21499 5.74649 0.20647
233 0.960327 5.8483 0.390224 1.21499 5.72704 0.2065
234 0.671647 5.82618 0.389182 1.21499 5.70776 0.206518
235 1.16596 5.80635 0.388029 1.21499 5.68864 0.206524
236 1.16596 5.78668 0.386881 1.21499 5.66968 0.206519
237 1.16596 5.76719 0.385739 2.39174 5.65585 0.20611
238 1.16596 5.74785 0.384601 2.39174 5.64214 0.2057
239 1.29111 5.72921 0.383442 2.39174 5.62854 0.205289
240 0.678623 5.70816 0.38242 3.10077 5.61801 0.204703
241 0.678623 5.68729 0.381401 3.10077 5.60756 0.204119
242 1.44745 5.66977 0.380226 2.43323 5.59444 0.203696
243 1.37045 5.65208 0.379071 1.25727 5.57659 0.20364
244 1.37045 5.63453 0.377922 1.25727 5.55889 0.203575
245 2.43478 5.62147 0.376603 1.25727 5.54133 0.203501
246 2.43478 5.60852 0.375292 1.25727 5.52392 0.203419
247 2.23944 5.59488 0.374019 2.30709 5.5109 0.203012
248 1.44378 5.57814 0.372883 3.98398 5.50474 0.202285
249 1.36215 5.56121 0.371769 3.98398 5.49863 0.201564
250 1.36215 5.54441 0.370659 5.45698 5.49847 0.200756
251 1.55479 5.52852 0.369522 2.33198 5.48585 0.200352
252 1.55479 5.51275 0.36839 1.75013 5.47103 0.200106
253 0.970561 5.4948 0.36737 2.64926 5.45987 0.199625
254 0.970561 5.47698 0.366354 4.01438 5.45418 0.198919
255 0.963351 5.45928 0.365344 3.30594 5.44576 0.198316
256 0.398345 5.43951 0.36445 4.2585 5.44112 0.197594
257 0.398345 5.4199 0.363559 4.2585 5.43652 0.196878
258 0.398345 5.40044 0.36267 3.67909 5.42971 0.196232
259 0.398345 5.38112 0.361783 3.28196 5.42141 0.195648
260 0.398345 5.36196 0.360898 3.28196 5.41318 0.195068
261 0.398345 5.34294 0.360015 3.28196 5.40502 0.194491
262 0.398345 5.32407 0.359134 2.39365 5.39353 0.194087
263 0.398345 5.30534 0.358256 5.72007 5.39477 0.193352
264 0.398345 5.28675 0.35738 5.72007 5.396 0.192622
265 1.56308 5.2727 0.356306 5.72007 5.39722 0.191898
266 2.5367 5.26241 0.355113 5.72007 5.39844 0.191179
267 2.88663 5.25352 0.353892 8.21362 5.40898 0.190753
268 3.16594 5.24573 0.352656 8.21362 5.41944 0.190328
269 1.86607 5.23316 0.351567 8.53934 5.43104 0.189974
270 0.597554 5.21599 0.350683 9.02936 5.44437 0.189737
271 0.691516 5.1993 0.349785 9.02936 5.4576 0.189498
272 0.691516 5.18273 0.34889 9.02936 5.47073 0.189256
273 0.691516 5.16627 0.347999 9.02936 5.48377 0.189012
274 0.691516 5.14994 0.347111 8.2619 5.4939 0.188593
275 0.691516 5.13373 0.346226 8.2619 5.50397 0.188176
276 0.691516 5.11764 0.345345 4.8915 5.50175 0.187506
277 0.691516 5.10166 0.344467 4.8915 5.49955 0.186841
278 0.975468 5.08681 0.343546 4.8915 5.49736 0.18618
279 0.975468 5.07208 0.34263 5.23655 5.49643 0.185514
280 0.975468 5.05745 0.341717 5.23655 5.4955 0.184853
281 0.975468 5.04292 0.340809 5.23655 5.49458 0.184196
282 0.975468 5.0285 0.339904 7.75754 5.5026 0.183717
283 0.810797 5.01359 0.339029 7.75754 5.51057 0.18324
284 0.810797 4.9988 0.338157 9.67009 5.52522 0.18318
285 0.810797 4.9841 0.337288 9.42855 5.53891 0.183049
286 0.810797 4.96951 0.336424 7.18513 5.54467 0.182499
287 0.86365 4.9552 0.335554 7.30196 5.55079 0.181965
288 1.78211 4.94419 0.334569 7.30196 5.55687 0.181434
289 1.94685 4.93381 0.33357 8.15554 5.56586 0.181029
290 2.03526 4.92382 0.332568 7.85089 5.57374 0.180575
291 2.18376 4.9144 0.331557 7.85089 5.58157 0.180124
292 2.42612 4.90588 0.33053 7.06381 5.58664 0.179578
293 1.14552 4.89305 0.32965 6.21388 5.58878 0.178976
294 1.14552 4.8803 0.328774 6.68463 5.59251 0.178406
295 1.14552 4.86764 0.327902 6.68463 5.59621 0.177838
296 1.14552 4.85507 0.327034 6.68463 5.59989 0.177275
297 1.14552 4.84258 0.32617 6.68463 5.60354 0.176714
298 1.14552 4.83017 0.32531 5.79822 5.6042 0.176122
299 1.14552 4.81785 0.324455 5.80864 5.60488 0.175533
300 2.24811 4.80928 0.323485 5.80864 5.60556 0.174948
301 1.44413 4.7981 0.322602 4.68143 5.60249 0.174393
302 1.44413 4.78699 0.321724 5.7041 5.60283 0.173815
303 1.41415 4.77586 0.320854 7.16382 5.60798 0.173317
304 1.07009 4.76367 0.320029 8.25874 5.6167 0.172966
305 1.07009 4.75156 0.319207 7.44618 5.62269 0.172502
306 1.06103 4.7395 0.318391 6.91421 5.62692 0.171989
307 1.06103 4.72752 0.317578 6.91421 5.63111 0.171479
