# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.494
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.4985
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
116 0.73329 0.881766 0.037582 7.38407 5.30106 0.214737
117 0.701879 0.880228 0.0372911 7.38407 5.31887 0.213637
118 0.544582 0.877384 0.037083 6.16019 5.326 0.211939
119 0.843885 0.877102 0.0367711 7.03872 5.34039 0.210642
120 1.05333 0.878571 0.036493 7.03872 5.35454 0.209358
121 1.05333 0.880015 0.0362189 7.03872 5.36846 0.208087
122 1.54994 0.885506 0.0363381 8.46695 5.39386 0.207931
123 1.54994 0.890908 0.036444 7.34785 5.40975 0.206845
124 1.58079 0.896472 0.0365746 7.5961 5.42738 0.205926
125 0.966413 0.897031 0.0362851 7.5961 5.44473 0.205008
126 0.966413 0.897582 0.0360002 8.04524 5.46537 0.204419
127 0.966413 0.898124 0.0357197 6.26519 5.47166 0.2029
128 0.987743 0.898824 0.0354465 6.26519 5.47786 0.201404
129 0.892455 0.898775 0.0351706 6.75855 5.48779 0.200083
130 0.81401 0.898122 0.0349051 6.90874 5.49872 0.198839
131 0.81401 0.89748 0.0346436 5.86209 5.5015 0.197335
132 1.06465 0.898747 0.0344035 5.86209 5.50423 0.195853
133 1.06465 0.899994 0.0341666 5.86209 5.50692 0.194394
134 1.06465 0.901223 0.0339329 5.40676 5.50617 0.192939
135 1.06465 0.902434 0.0337024 8.12559 5.52557 0.192485
136 1.07874 0.90373 0.0334788 8.12559 5.54469 0.192018
137 1.07874 0.905007 0.033258 8.12559 5.56353 0.19154
138 0.76895 0.904022 0.0330309 8.12559 5.5821 0.191052
139 0.794553 0.903234 0.0328018 7.74495 5.59766 0.190309
140 0.794553 0.902458 0.0325759 7.74495 5.61299 0.189567
141 0.794553 0.901692 0.0323531 4.72221 5.60668 0.188323
142 0.928628 0.901882 0.0321251 4.72221 5.60045 0.187096
143 0.928628 0.902069 0.0319002 7.68309 5.61501 0.186353
144 0.928628 0.902254 0.0316784 7.22161 5.62617 0.18539
145 1.77523 0.908274 0.0320301 7.22161 5.63717 0.184436
146 1.25141 0.910624 0.0318966 7.86184 5.65241 0.183801
147 1.25141 0.912943 0.0317636 7.86184 5.66744 0.183164
148 1.25829 0.915276 0.0316345 7.66608 5.68094 0.182423
149 1.25829 0.917578 0.0315056 7.66608 5.69427 0.181684
150 1.25829 0.91985 0.0313772 5.71033 5.69437 0.180468
151 2.46217 0.930064 0.0327996 5.57943 5.69361 0.179271
152 2.97504 0.943517 0.0352515 7.02177 5.70235 0.178302
153 3.15562 0.957976 0.0378875 7.02177 5.71097 0.177342
154 3.15562 0.972246 0.040255 7.02177 5.71949 0.176392
155 3.68229 0.98973 0.0436492 6.18727 5.7225 0.175277
156 3.88379 1.00828 0.0471698 3.14692 5.70599 0.17493
157 4.04736 1.02764 0.0507084 3.14692 5.68969 0.174575
158 4.04736 1.04675 0.0538894 5.56829 5.68892 0.173468
159 4.04736 1.06562 0.0567775 5.56829 5.68817 0.172376
160 4.30339 1.08586 0.0599407 5.56829 5.68742 0.171297
161 3.38529 1.10014 0.0612555 3.82758 5.67586 0.170621
162 3.38529 1.11425 0.0624891 3.82758 5.66446 0.169948
163 3.66173 1.12988 0.0640408 5.65881 5.66442 0.168902
