# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.507619
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.497368
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
107 1.56231 1.51857 0.0134788 4.47079 4.9707 0.0297952
108 1.46272 1.51805 0.0133634 5.02707 4.97123 0.0295226
109 1.5246 1.51811 0.0132404 5.07115 4.97214 0.0292649
110 1.39149 1.51696 0.0131699 4.99879 4.97238 0.0289986
111 1.52367 1.51702 0.0130508 4.83487 4.97115 0.0287629
112 1.48999 1.51678 0.012936 5.17947 4.97301 0.0285655
113 1.36193 1.51541 0.0128941 4.87141 4.97211 0.0283259
114 1.40937 1.51448 0.0128143 5.32805 4.97523 0.0282494
115 1.54072 1.5147 0.0127044 4.9653 4.97514 0.0280028
116 1.42695 1.51395 0.0126171 5.54897 4.98009 0.0281977
117 1.63296 1.51497 0.0125501 5.37945 4.9835 0.0281632
118 1.54164 1.51519 0.0124453 4.94182 4.98315 0.0279258
119 1.70288 1.51677 0.0124407 5.39763 4.98663 0.0279083
120 1.54236 1.51698 0.0123384 5.03046 4.987 0.0276772
121 1.52984 1.51709 0.0122365 4.99154 4.98703 0.0274475
122 1.5164 1.51708 0.0121358 4.94665 4.9867 0.0272236
123 1.45865 1.51661 0.0120461 4.99498 4.98677 0.0270014
124 1.2651 1.51458 0.0121195 5.16737 4.98823 0.0268224
125 1.74798 1.51645 0.0121663 4.89342 4.98747 0.0266177
126 1.28031 1.51457 0.012214 5.31427 4.99006 0.0265327
127 1.57271 1.51503 0.012126 5.04807 4.99052 0.0263269
128 1.35269 1.51376 0.0120976 5.14089 4.99169 0.0261469
