# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.5235
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.509
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
224 1.01188 1.47033 0.0540496 3.15936 4.49778 0.142409
225 1.01188 1.46829 0.0538474 3.15936 4.49184 0.141899
226 1.01188 1.46627 0.0536466 2.44159 4.48276 0.141561
227 1.01188 1.46427 0.0534473 4.28618 4.4819 0.140939
228 1.01188 1.46229 0.0532493 5.55817 4.48662 0.140399
229 1.01188 1.46032 0.0530527 5.89666 4.49278 0.13992
230 1.01188 1.45837 0.0528575 4.98303 4.49491 0.139326
231 0.745989 1.45529 0.0527185 3.54914 4.49081 0.138782
232 0.745989 1.45223 0.0525797 3.54914 4.48675 0.138242
233 0.745989 1.4492 0.0524412 1.87512 4.47555 0.138103
234 0.756457 1.44624 0.0523005 4.50024 4.47565 0.137512
235 1.01838 1.44442 0.0521093 2.86461 4.4688 0.137097
236 1.4573 1.44447 0.0518881 2.86461 4.462 0.136684
237 1.36439 1.44413 0.0516698 4.50835 4.46219 0.136106
238 1.36439 1.4438 0.0514533 1.4182 4.4494 0.136135
239 1.22332 1.44288 0.0512459 1.4182 4.43672 0.136156
240 0.972039 1.44091 0.0510696 1.4182 4.42414 0.13617
241 0.972039 1.43897 0.0508944 1.4182 4.41167 0.136176
242 1.55651 1.43946 0.050686 1.4182 4.3993 0.136175
243 1.62077 1.4402 0.0504825 1.4182 4.38703 0.136168
244 1.62077 1.44094 0.0502806 1.4182 4.37487 0.136153
245 2.59524 1.44565 0.0502961 1.4182 4.3628 0.136132
246 2.70886 1.45079 0.0503538 1.4182 4.35083 0.136105
247 2.58774 1.45539 0.0503603 3.16836 4.34604 0.135637
248 1.87048 1.45706 0.0501848 4.20628 4.34548 0.135091
249 1.87048 1.45872 0.0500104 4.20628 4.34492 0.134548
250 1.87048 1.46037 0.0498372 5.7177 4.35041 0.134121
251 1.87048 1.46201 0.0496651 3.18091 4.34575 0.133667
252 1.78522 1.46329 0.0494842 2.27391 4.33753 0.133389
253 1.49699 1.46342 0.0492884 2.81092 4.33149 0.132998
254 1.49699 1.46355 0.0490942 3.80583 4.32942 0.132489
255 1.62903 1.4642 0.0489056 2.85873 4.32366 0.132095
256 1.09636 1.46277 0.0487354 4.06952 4.32266 0.131582
257 1.56807 1.46318 0.0485471 4.06952 4.32168 0.131072
258 1.56807 1.46358 0.0483603 3.05062 4.31675 0.130656
259 1.55306 1.46393 0.0481744 2.63321 4.31025 0.130313
260 0.628289 1.46071 0.0480963 2.63321 4.3038 0.129971
261 0.628289 1.45752 0.0480177 2.63321 4.2974 0.12963
262 0.628289 1.45436 0.0479387 2.63321 4.29105 0.12929
263 0.628289 1.45122 0.0478592 5.43323 4.29539 0.128871
264 0.628289 1.4481 0.0477794 5.1242 4.29853 0.12842
265 1.73962 1.4492 0.0476114 5.1242 4.30165 0.127973
266 2.4585 1.453 0.0475836 5.1242 4.30474 0.127528
267 2.61573 1.45735 0.0476047 7.72835 4.31756 0.127695
268 2.72925 1.4621 0.0476636 7.72835 4.33029 0.127853
269 1.39274 1.46184 0.0474868 7.9899 4.34389 0.128101
270 0.344899 1.4577 0.0474911 8.67224 4.35993 0.128629
271 0.580169 1.45446 0.0474262 8.67224 4.37584 0.129137
272 0.580169 1.45125 0.0473607 8.67224 4.39163 0.129628
273 0.580169 1.44806 0.0472947 8.67224 4.40731 0.1301
274 0.580169 1.44489 0.0472281 7.84824 4.41987 0.130231
275 0.580169 1.44175 0.047161 7.84824 4.43234 0.130355
276 0.580169 1.43862 0.0470934 4.20736 4.43152 0.129884
277 0.580169 1.43553 0.0470253 4.20736 4.43071 0.129417
278 0.580169 1.43245 0.0469567 4.20736 4.42991 0.128953
279 0.580169 1.42939 0.0468877 4.79338 4.43121 0.128496
280 0.704393 1.4268 0.0467917 4.79338 4.43251 0.128043
281 0.704393 1.42423 0.0466957 4.79338 4.43379 0.127593
